id,sugar_level,calories,weight,fat,food_color
1985,-4.359999999999999 gr,-23 cal,809.59 gr,43 gr,Lemon Yellow
1986,140.94 gr,344 cal,933.33 gr,32 gr,Grass Green
1987,114.3 gr,615 cal,1242.78 gr,22 gr,Grass Green
1988,135.57 gr,669 cal,1554.63 gr,39 gr,Rose
1989,97.26999999999998 gr,516 cal,607.32 gr,31 gr,Green
1990,50.99000000000001 gr,448 cal,1999.04 gr,-6 gr,Purple
1991,84.75999999999999 gr,251 cal,972.9 gr,39 gr,Coffee
1992,139.96 gr,424 cal,309.11 gr,38 gr,Rose
1993,17.5 gr,265 cal,1225.99 gr,29 gr,Coffee
1994,56.739999999999995 gr,416 cal,1791.3 gr,-4 gr,Navy Blue
1995,141.49 gr,539 cal,1105.15 gr,34 gr,Sunset Yellow
1996,27.61 gr,439 cal,1283.59 gr,20 gr,Navy Blue
1997,70.81 gr,444 cal,667.24 gr,14 gr,Coffee
1998,137.63 gr,695 cal,240.95 gr,40 gr,Rose
1999,98.95 gr,477 cal,1496.83 gr,32 gr,Sunset Yellow
2000,60.05 gr,30 cal,1768.73 gr,3 gr,Green
2001,15.449999999999989 gr,482 cal,1831.52 gr,6 gr,Black
2002,66.53999999999999 gr,109 cal,1570.14 gr,-4 gr,Coffee
2003,84.24 gr,352 cal,435.37 gr,7 gr,Black
2004,69.39 gr,297 cal,1125.45 gr,25 gr,Green
2005,-2.5 gr,94 cal,408.27 gr,16 gr,Green
2006,77.96 gr,470 cal,19.89 gr,11 gr,Green
2007,116.86 gr,475 cal,946.29 gr,26 gr,Sunset Red
2008,51.739999999999995 gr,484 cal,242.52 gr,9 gr,Lemon Yellow
2009,116.26 gr,415 cal,1312.68 gr,32 gr,Grass Green
2010,93.30000000000001 gr,225 cal,1250.34 gr,23 gr,Green
2011,86.75999999999999 gr,187 cal,15.35 gr,20 gr,Grass Green
2012,115.98 gr,345 cal,60.31 gr,38 gr,Green
2013,163.46 gr,478 cal,413.72 gr,23 gr,Navy Blue
2014,114.31 gr,399 cal,1318.56 gr,32 gr,Navy Blue
2015,97.72999999999999 gr,701 cal,1977.82 gr,35 gr,
2016,80.93 gr,265 cal,1265.36 gr,12 gr,Purple
2017,45.02999999999999 gr,447 cal,1521.47 gr,4 gr,Sunset Yellow
2018,,135 cal,921.75 gr,24 gr,Lemon Yellow
2019,107.22 gr,337 cal,1082.94 gr,25 gr,Purple
2020,67.33999999999999 gr,484 cal,110.43 gr,21 gr,Grass Green
2021,100.35 gr,327 cal,410.92 gr,17 gr,Grass Green
2022,29.42 gr,445 cal,852.59 gr,13 gr,Grass Green
2023,84.22999999999999 gr,150 cal,509.39 gr,25 gr,Coffee
2024,164.18 gr,,907.14 gr,25 gr,Navy Blue
2025,,510 cal,501.26 gr,41 gr,Rose
2026,104.21 gr,454 cal,527.43 gr,26 gr,Purple
2027,78.21000000000001 gr,322 cal,1319.19 gr,-1 gr,Black
2028,19.340000000000003 gr,63 cal,617.71 gr,30 gr,Sunset Red
2029,96.55 gr,283 cal,1999.55 gr,24 gr,Purple
2030,36.39 gr,406 cal,,24 gr,Navy Blue
2031,112.03 gr,534 cal,1769.44 gr,40 gr,Coffee
2032,134.53 gr,499 cal,670.4 gr,28 gr,Coffee
2033,102.53999999999999 gr,622 cal,1139.95 gr,27 gr,Black
2034,111.7 gr,740 cal,740.36 gr,39 gr,Rose
2035,70.42999999999999 gr,332 cal,1056.53 gr,40 gr,Navy Blue
2036,50.80999999999999 gr,275 cal,798.0 gr,21 gr,Sunset Red
2037,-2.5800000000000125 gr,361 cal,1440.08 gr,38 gr,Green
2038,156.81 gr,326 cal,669.96 gr,41 gr,Sunset Yellow
2039,111.89000000000001 gr,626 cal,184.21 gr,28 gr,Coffee
2040,104.49000000000001 gr,525 cal,1190.34 gr,19 gr,Coffee
2041,71.84 gr,234 cal,1433.44 gr,27 gr,Coffee
2042,90.86000000000001 gr,533 cal,824.72 gr,20 gr,Black
2043,94.33 gr,435 cal,1381.42 gr,25 gr,Rose
2044,152.55 gr,756 cal,1945.53 gr,41 gr,Grass Green
2045,142.2 gr,622 cal,146.84 gr,21 gr,Lemon Yellow
2046,122.52000000000001 gr,16 cal,850.63 gr,6 gr,Sunset Yellow
2047,42.39 gr,179 cal,1871.9 gr,37 gr,Navy Blue
2048,15.719999999999999 gr,155 cal,1870.33 gr,8 gr,Coffee
2049,-9.61 gr,72 cal,850.12 gr,-8 gr,Rose
2050,114.72999999999999 gr,397 cal,1821.44 gr,-4 gr,Sunset Yellow
2051,106.74 gr,394 cal,569.87 gr,0 gr,Grass Green
2052,60.38000000000001 gr,46 cal,125.8 gr,9 gr,Coffee
2053,114.24000000000001 gr,603 cal,755.03 gr,28 gr,Rose
2054,104.0 gr,509 cal,368.42 gr,20 gr,Sunset Red
2055,64.72 gr,333 cal,1537.87 gr,36 gr,
2056,140.8 gr,698 cal,43.15 gr,31 gr,Purple
2057,38.83 gr,516 cal,130.37 gr,19 gr,Sunset Red
2058,133.5 gr,564 cal,95.36 gr,45 gr,Black
2059,53.030000000000015 gr,139 cal,953.62 gr,1 gr,Black
2060,65.75 gr,518 cal,1235.07 gr,48 gr,Purple
2061,67.78999999999999 gr,466 cal,11.11 gr,24 gr,Purple
2062,107.42999999999999 gr,295 cal,,31 gr,Black
2063,152.20999999999998 gr,587 cal,1488.41 gr,20 gr,Sunset Red
2064,114.01 gr,-18 cal,905.57 gr,6 gr,Rose
2065,89.83 gr,531 cal,927.76 gr,1 gr,Lemon Yellow
2066,92.59 gr,465 cal,739.64 gr,24 gr,Coffee
2067,69.42999999999999 gr,488 cal,1984.52 gr,-6 gr,Sunset Yellow
2068,59.349999999999994 gr,705 cal,1408.49 gr,28 gr,Rose
2069,100.17 gr,209 cal,412.02 gr,31 gr,Sunset Yellow
2070,108.56 gr,385 cal,252.22 gr,38 gr,Sunset Red
2071,139.38 gr,532 cal,404.11 gr,30 gr,Grass Green
2072,11.259999999999991 gr,173 cal,995.78 gr,21 gr,Grass Green
2073,102.37 gr,509 cal,1940.75 gr,19 gr,Grass Green
2074,170.44 gr,697 cal,355.99 gr,19 gr,
2075,-1.8599999999999994 gr,103 cal,483.74 gr,10 gr,Purple
2076,145.43 gr,659 cal,213.46 gr,28 gr,Lemon Yellow
2077,83.18 gr,355 cal,804.61 gr,40 gr,Navy Blue
2078,53.60000000000001 gr,506 cal,1518.5 gr,-1 gr,Navy Blue
2079,122.11 gr,733 cal,1990.39 gr,44 gr,Lemon Yellow
2080,148.57 gr,622 cal,1773.93 gr,36 gr,Grass Green
2081,93.53 gr,502 cal,1637.24 gr,34 gr,Lemon Yellow
2082,19.879999999999995 gr,219 cal,685.27 gr,14 gr,Sunset Red
2083,68.62 gr,447 cal,835.46 gr,33 gr,Black
2084,110.21000000000001 gr,600 cal,1211.89 gr,35 gr,Coffee
2085,74.82 gr,567 cal,1294.06 gr,22 gr,Grass Green
2086,109.44 gr,600 cal,78.44 gr,23 gr,Lemon Yellow
2087,172.14 gr,642 cal,512.88 gr,15 gr,Green
2088,71.14999999999999 gr,58 cal,1156.23 gr,3 gr,Lemon Yellow
2089,52.36999999999999 gr,424 cal,1274.44 gr,20 gr,Sunset Red
2090,111.63 gr,699 cal,162.63 gr,35 gr,Purple
2091,78.5 gr,189 cal,170.74 gr,37 gr,Lemon Yellow
2092,71.4 gr,53 cal,846.28 gr,4 gr,Black
2093,126.06000000000002 gr,270 cal,1347.88 gr,26 gr,Sunset Yellow
2094,74.87 gr,308 cal,1641.82 gr,27 gr,Coffee
2095,23.559999999999988 gr,372 cal,844.96 gr,5 gr,Navy Blue
2096,95.1 gr,472 cal,5.85 gr,25 gr,Rose
2097,31.200000000000017 gr,399 cal,,35 gr,Navy Blue
2098,123.13 gr,358 cal,1459.17 gr,39 gr,Coffee
2099,119.97 gr,368 cal,1143.32 gr,34 gr,Rose
2100,72.75 gr,255 cal,843.75 gr,-2 gr,Black
2101,98.91 gr,471 cal,680.48 gr,23 gr,Purple
2102,118.61 gr,386 cal,1680.92 gr,33 gr,Green
2103,69.99999999999999 gr,253 cal,730.24 gr,15 gr,Rose
2104,1.1599999999999966 gr,226 cal,788.08 gr,6 gr,Rose
2105,83.16 gr,674 cal,1262.59 gr,36 gr,Lemon Yellow
2106,102.68 gr,370 cal,1219.79 gr,29 gr,Sunset Red
2107,136.39 gr,652 cal,1880.57 gr,37 gr,Black
2108,52.60000000000001 gr,47 cal,1037.7 gr,2 gr,Black
2109,42.81 gr,113 cal,37.3 gr,9 gr,Purple
2110,137.87 gr,517 cal,1156.39 gr,48 gr,Navy Blue
2111,,41 cal,1692.32 gr,18 gr,Black
2112,104.55999999999999 gr,798 cal,1253.44 gr,26 gr,Purple
2113,77.21 gr,497 cal,1001.31 gr,19 gr,Sunset Yellow
2114,119.35 gr,438 cal,1330.39 gr,35 gr,Green
2115,23.35000000000001 gr,409 cal,1086.09 gr,22 gr,Purple
2116,110.58 gr,553 cal,1946.1 gr,32 gr,Sunset Red
2117,107.66 gr,498 cal,1556.9 gr,24 gr,Navy Blue
2118,95.78 gr,443 cal,1645.89 gr,18 gr,Rose
2119,150.28 gr,523 cal,1893.13 gr,40 gr,Green
2120,115.02 gr,698 cal,690.77 gr,33 gr,Rose
2121,99.54 gr,678 cal,1542.78 gr,25 gr,Black
2122,74.42999999999999 gr,344 cal,489.94 gr,6 gr,Purple
2123,72.17999999999999 gr,640 cal,521.13 gr,46 gr,Rose
2124,35.92999999999999 gr,297 cal,301.05 gr,23 gr,Sunset Yellow
2125,56.91000000000001 gr,358 cal,1623.58 gr,10 gr,Sunset Yellow
2126,142.56 gr,331 cal,1509.31 gr,30 gr,Rose
2127,61.22 gr,296 cal,1367.62 gr,-11 gr,Sunset Yellow
2128,97.08 gr,482 cal,1172.26 gr,31 gr,Black
2129,125.72 gr,415 cal,1210.18 gr,15 gr,Black
2130,117.01 gr,492 cal,274.89 gr,26 gr,Green
2131,33.41 gr,196 cal,479.79 gr,9 gr,Purple
2132,28.379999999999995 gr,208 cal,1532.87 gr,25 gr,Navy Blue
2133,66.36000000000001 gr,274 cal,1532.65 gr,-1 gr,Rose
2134,10.010000000000005 gr,398 cal,630.81 gr,16 gr,Green
2135,24.039999999999992 gr,162 cal,816.34 gr,27 gr,Green
2136,149.12 gr,354 cal,1443.76 gr,35 gr,Purple
2137,57.879999999999995 gr,482 cal,598.67 gr,37 gr,
2138,111.77000000000001 gr,311 cal,1091.52 gr,-6 gr,Coffee
2139,132.51 gr,363 cal,678.11 gr,26 gr,Rose
2140,181.23000000000002 gr,325 cal,173.99 gr,34 gr,Black
2141,70.11999999999999 gr,210 cal,1440.39 gr,22 gr,Rose
2142,7.52000000000001 gr,508 cal,1067.19 gr,17 gr,Lemon Yellow
2143,145.35999999999999 gr,750 cal,905.55 gr,25 gr,Rose
2144,29.19999999999999 gr,111 cal,259.53 gr,25 gr,Purple
2145,93.81 gr,436 cal,1237.18 gr,32 gr,Black
2146,63.010000000000005 gr,104 cal,1233.03 gr,-8 gr,Rose
2147,4.799999999999997 gr,448 cal,725.49 gr,1 gr,Purple
2148,111.82000000000001 gr,396 cal,780.14 gr,19 gr,Sunset Red
2149,48.89 gr,112 cal,1583.53 gr,2 gr,
2150,112.38 gr,643 cal,463.26 gr,21 gr,Black
2151,126.21 gr,525 cal,776.72 gr,22 gr,Coffee
2152,121.49 gr,513 cal,642.42 gr,12 gr,Coffee
2153,128.14999999999998 gr,642 cal,1320.07 gr,33 gr,Purple
2154,105.86 gr,484 cal,516.43 gr,13 gr,Grass Green
2155,107.94000000000001 gr,488 cal,66.9 gr,33 gr,Green
2156,55.18000000000001 gr,307 cal,1649.45 gr,16 gr,Black
2157,58.25 gr,148 cal,601.21 gr,6 gr,Sunset Red
2158,14.709999999999994 gr,161 cal,,-12 gr,Navy Blue
2159,13.799999999999997 gr,-8 cal,1050.04 gr,27 gr,Grass Green
2160,63.77999999999999 gr,269 cal,832.76 gr,4 gr,Green
2161,69.64 gr,549 cal,585.74 gr,35 gr,Rose
2162,120.2 gr,446 cal,1429.19 gr,35 gr,Navy Blue
2163,38.94 gr,330 cal,676.99 gr,23 gr,Coffee
2164,164.9 gr,635 cal,1757.05 gr,24 gr,Black
2165,43.06 gr,185 cal,1496.6 gr,0 gr,Rose
2166,-9.060000000000002 gr,286 cal,487.16 gr,11 gr,Green
2167,148.97 gr,517 cal,956.04 gr,15 gr,Black
2168,88.89999999999999 gr,-7 cal,1198.16 gr,22 gr,Sunset Red
2169,4.920000000000002 gr,,1016.03 gr,3 gr,Coffee
2170,105.18 gr,454 cal,499.55 gr,19 gr,Rose
2171,0.3100000000000023 gr,-2 cal,1143.24 gr,30 gr,Sunset Red
2172,52.0 gr,230 cal,1651.77 gr,3 gr,Black
2173,27.900000000000006 gr,205 cal,1134.5 gr,21 gr,Navy Blue
2174,91.4 gr,103 cal,1567.09 gr,18 gr,Lemon Yellow
2175,136.55 gr,470 cal,415.45 gr,34 gr,Purple
2176,80.58 gr,100 cal,1742.06 gr,26 gr,Purple
2177,11.920000000000002 gr,517 cal,1107.28 gr,22 gr,Green
2178,122.08999999999999 gr,328 cal,1809.71 gr,25 gr,Purple
2179,43.620000000000005 gr,352 cal,1589.68 gr,17 gr,Lemon Yellow
2180,77.34 gr,459 cal,689.14 gr,9 gr,Sunset Red
2181,52.86 gr,183 cal,1711.54 gr,4 gr,Navy Blue
2182,110.86 gr,466 cal,1683.45 gr,46 gr,Navy Blue
2183,11.569999999999993 gr,275 cal,715.19 gr,19 gr,Black
2184,63.609999999999985 gr,447 cal,539.71 gr,13 gr,Sunset Red
2185,55.17999999999999 gr,274 cal,1484.24 gr,24 gr,Lemon Yellow
2186,28.92 gr,454 cal,218.72 gr,35 gr,Black
2187,117.24000000000001 gr,748 cal,615.46 gr,29 gr,Sunset Red
2188,103.86000000000001 gr,353 cal,1036.91 gr,12 gr,Navy Blue
2189,94.48 gr,-6 cal,1810.27 gr,23 gr,Rose
2190,-8.0 gr,62 cal,1839.65 gr,15 gr,Rose
2191,116.49000000000001 gr,601 cal,992.98 gr,24 gr,Black
2192,-13.469999999999999 gr,258 cal,595.2 gr,21 gr,Coffee
2193,24.489999999999995 gr,477 cal,1627.64 gr,16 gr,Green
2194,65.75 gr,413 cal,1878.97 gr,13 gr,Grass Green
2195,174.8 gr,530 cal,962.23 gr,37 gr,Sunset Red
2196,18.39999999999999 gr,445 cal,95.58 gr,27 gr,Grass Green
2197,136.88 gr,395 cal,425.6 gr,34 gr,Sunset Yellow
2198,114.28 gr,278 cal,1800.98 gr,23 gr,Sunset Red
2199,66.44 gr,353 cal,1393.7 gr,16 gr,Sunset Yellow
2200,136.1 gr,596 cal,1364.92 gr,25 gr,Purple
2201,84.1 gr,169 cal,1850.99 gr,32 gr,Navy Blue
2202,148.43 gr,582 cal,759.74 gr,20 gr,Coffee
2203,92.98 gr,242 cal,1.76 gr,23 gr,Lemon Yellow
2204,13.280000000000001 gr,110 cal,1304.9 gr,41 gr,Green
2205,14.459999999999994 gr,363 cal,930.85 gr,43 gr,Sunset Yellow
2206,171.8 gr,,1612.14 gr,30 gr,Sunset Red
2207,75.96 gr,478 cal,452.9 gr,43 gr,Sunset Red
2208,113.33000000000001 gr,259 cal,266.12 gr,18 gr,Lemon Yellow
2209,65.32000000000001 gr,370 cal,548.53 gr,16 gr,Purple
2210,1.7199999999999989 gr,438 cal,613.07 gr,4 gr,Purple
2211,25.72999999999999 gr,202 cal,628.39 gr,9 gr,Green
2212,152.87 gr,600 cal,182.92 gr,27 gr,Sunset Yellow
2213,-1.4599999999999937 gr,97 cal,72.97 gr,9 gr,Black
2214,49.67999999999999 gr,20 cal,528.87 gr,34 gr,Sunset Yellow
2215,72.57 gr,561 cal,1581.81 gr,34 gr,Navy Blue
2216,71.51999999999998 gr,357 cal,253.71 gr,6 gr,Sunset Red
2217,94.48 gr,459 cal,193.28 gr,30 gr,Sunset Red
2218,46.25 gr,,912.03 gr,21 gr,Sunset Yellow
2219,112.44999999999999 gr,462 cal,1228.82 gr,42 gr,Black
2220,128.95 gr,333 cal,130.39 gr,27 gr,Green
2221,107.66999999999999 gr,326 cal,486.63 gr,35 gr,Coffee
2222,1.470000000000013 gr,4 cal,1964.55 gr,27 gr,Rose
2223,53.91 gr,506 cal,440.83 gr,10 gr,Grass Green
2224,86.22999999999999 gr,445 cal,1029.18 gr,24 gr,Sunset Red
2225,136.65 gr,546 cal,106.32 gr,25 gr,Green
2226,67.92 gr,111 cal,1263.43 gr,5 gr,Sunset Red
2227,50.22 gr,405 cal,1098.26 gr,28 gr,Black
2228,151.42000000000002 gr,307 cal,1893.39 gr,25 gr,Purple
2229,49.95 gr,396 cal,1158.68 gr,15 gr,Sunset Yellow
2230,33.47 gr,412 cal,914.03 gr,14 gr,Rose
2231,22.14 gr,121 cal,34.11 gr,18 gr,Grass Green
2232,154.63 gr,462 cal,1845.48 gr,17 gr,Sunset Yellow
2233,155.01 gr,427 cal,237.79 gr,32 gr,Green
2234,40.010000000000005 gr,320 cal,1137.69 gr,-10 gr,Sunset Red
2235,15.150000000000006 gr,14 cal,1326.45 gr,26 gr,Navy Blue
2236,134.89999999999998 gr,344 cal,380.62 gr,29 gr,Black
2237,108.53 gr,355 cal,1831.19 gr,20 gr,Rose
2238,29.14 gr,74 cal,480.32 gr,20 gr,Sunset Red
2239,83.82 gr,614 cal,231.77 gr,48 gr,Black
2240,-0.7399999999999949 gr,238 cal,1676.87 gr,37 gr,Purple
2241,103.24000000000001 gr,640 cal,1997.57 gr,36 gr,Lemon Yellow
2242,69.31 gr,653 cal,1663.76 gr,26 gr,Rose
2243,171.78 gr,509 cal,707.22 gr,24 gr,Purple
2244,45.28999999999999 gr,187 cal,1967.38 gr,32 gr,Rose
2245,120.91 gr,309 cal,116.69 gr,33 gr,Grass Green
2246,83.87 gr,457 cal,935.74 gr,28 gr,Coffee
2247,55.85000000000001 gr,90 cal,552.41 gr,12 gr,Green
2248,98.81 gr,477 cal,1452.75 gr,32 gr,Navy Blue
2249,32.230000000000004 gr,123 cal,1609.65 gr,21 gr,Navy Blue
2250,35.53 gr,502 cal,163.48 gr,10 gr,Navy Blue
2251,156.34 gr,665 cal,158.31 gr,35 gr,Grass Green
2252,127.97 gr,370 cal,994.83 gr,30 gr,Grass Green
2253,67.59 gr,588 cal,1670.76 gr,43 gr,Black
2254,119.37 gr,421 cal,,24 gr,Grass Green
2255,10.659999999999997 gr,266 cal,1635.58 gr,33 gr,Purple
2256,118.12 gr,128 cal,1085.98 gr,35 gr,Sunset Yellow
2257,112.54 gr,633 cal,589.13 gr,19 gr,Black
2258,37.56 gr,106 cal,1329.95 gr,25 gr,Sunset Red
2259,-1.7700000000000102 gr,304 cal,257.3 gr,30 gr,Black
2260,102.42 gr,246 cal,601.79 gr,23 gr,Sunset Yellow
2261,17.409999999999997 gr,257 cal,736.43 gr,15 gr,Lemon Yellow
2262,115.12 gr,596 cal,829.79 gr,36 gr,Lemon Yellow
2263,135.45 gr,466 cal,88.8 gr,17 gr,
2264,18.540000000000006 gr,108 cal,1972.75 gr,12 gr,Sunset Red
2265,61.10000000000001 gr,286 cal,700.11 gr,4 gr,Navy Blue
2266,64.94000000000001 gr,77 cal,123.42 gr,-9 gr,Sunset Yellow
2267,124.61 gr,391 cal,840.27 gr,18 gr,Navy Blue
2268,94.08999999999999 gr,186 cal,933.8 gr,0 gr,Coffee
2269,102.73 gr,525 cal,316.44 gr,36 gr,Rose
2270,87.08 gr,359 cal,1752.12 gr,30 gr,Green
2271,-12.25 gr,131 cal,383.03 gr,7 gr,Rose
2272,123.9 gr,542 cal,398.62 gr,41 gr,Coffee
2273,119.89000000000001 gr,529 cal,1659.45 gr,18 gr,Navy Blue
2274,47.33 gr,433 cal,1638.82 gr,18 gr,Black
2275,24.620000000000005 gr,505 cal,1415.67 gr,1 gr,Grass Green
2276,102.35999999999999 gr,38 cal,1566.25 gr,13 gr,Lemon Yellow
2277,108.27 gr,631 cal,620.2 gr,40 gr,Navy Blue
2278,97.59 gr,773 cal,367.55 gr,34 gr,Green
2279,46.769999999999996 gr,362 cal,1484.62 gr,23 gr,Green
2280,67.4 gr,20 cal,1242.79 gr,18 gr,Sunset Yellow
2281,25.349999999999994 gr,412 cal,258.89 gr,4 gr,Coffee
2282,23.78 gr,252 cal,661.8 gr,37 gr,Black
2283,138.49 gr,756 cal,1129.03 gr,29 gr,Coffee
2284,130.75 gr,419 cal,586.79 gr,24 gr,Coffee
2285,4.189999999999998 gr,-5 cal,1342.0 gr,-2 gr,Sunset Yellow
2286,129.98999999999998 gr,507 cal,1930.12 gr,11 gr,Sunset Red
2287,68.85 gr,428 cal,1371.29 gr,46 gr,Black
2288,152.2 gr,572 cal,1995.09 gr,28 gr,Green
2289,118.69 gr,573 cal,325.22 gr,,Lemon Yellow
2290,20.64999999999999 gr,332 cal,1660.45 gr,-7 gr,Lemon Yellow
2291,63.389999999999986 gr,43 cal,1458.78 gr,4 gr,Sunset Yellow
2292,6.8500000000000085 gr,432 cal,1706.0 gr,2 gr,Lemon Yellow
2293,171.32999999999998 gr,383 cal,1612.29 gr,32 gr,Green
2294,144.65 gr,582 cal,1874.62 gr,28 gr,Grass Green
2295,182.78 gr,527 cal,1401.51 gr,34 gr,Lemon Yellow
2296,46.250000000000014 gr,3 cal,1393.0 gr,-3 gr,Grass Green
2297,47.69 gr,377 cal,725.79 gr,-6 gr,Lemon Yellow
2298,124.96 gr,537 cal,1400.25 gr,21 gr,Rose
2299,-4.310000000000002 gr,273 cal,1424.61 gr,19 gr,Navy Blue
2300,-5.3799999999999955 gr,424 cal,181.57 gr,0 gr,Green
2301,141.98000000000002 gr,595 cal,340.81 gr,38 gr,Rose
2302,120.89999999999999 gr,641 cal,1152.95 gr,31 gr,Green
2303,9.11 gr,224 cal,1351.75 gr,-5 gr,Purple
2304,94.39 gr,621 cal,1780.78 gr,50 gr,Black
2305,25.36 gr,72 cal,1298.18 gr,15 gr,Coffee
2306,121.53999999999999 gr,714 cal,757.28 gr,39 gr,Sunset Yellow
2307,-16.430000000000007 gr,82 cal,1287.66 gr,8 gr,Sunset Yellow
2308,123.91999999999999 gr,336 cal,100.86 gr,25 gr,Sunset Red
2309,73.8 gr,623 cal,1585.55 gr,13 gr,Rose
2310,107.07 gr,461 cal,1326.32 gr,22 gr,
2311,125.85 gr,689 cal,957.52 gr,33 gr,Purple
2312,118.69 gr,656 cal,339.76 gr,15 gr,Green
2313,87.5 gr,445 cal,1437.41 gr,37 gr,Sunset Yellow
2314,21.489999999999995 gr,202 cal,118.16 gr,6 gr,Grass Green
2315,91.6 gr,246 cal,469.32 gr,-11 gr,Sunset Yellow
2316,49.85000000000001 gr,375 cal,980.74 gr,25 gr,Lemon Yellow
2317,100.4 gr,679 cal,799.37 gr,38 gr,Grass Green
2318,119.18999999999998 gr,145 cal,546.12 gr,25 gr,Green
2319,,271 cal,1445.32 gr,23 gr,Sunset Red
2320,140.2 gr,510 cal,1881.14 gr,20 gr,Rose
2321,143.53 gr,675 cal,1800.99 gr,24 gr,Purple
2322,76.55000000000001 gr,142 cal,1728.44 gr,3 gr,Coffee
2323,115.96000000000001 gr,538 cal,263.37 gr,29 gr,Grass Green
2324,82.94 gr,70 cal,1553.83 gr,-6 gr,Purple
2325,133.32999999999998 gr,547 cal,1106.07 gr,27 gr,Coffee
2326,58.91 gr,372 cal,1555.92 gr,17 gr,Green
2327,151.66 gr,559 cal,806.02 gr,42 gr,Sunset Red
2328,24.39 gr,450 cal,1330.47 gr,-4 gr,Purple
2329,43.11999999999999 gr,192 cal,101.93 gr,9 gr,Purple
2330,95.54 gr,714 cal,55.49 gr,35 gr,Lemon Yellow
2331,87.52 gr,526 cal,1773.25 gr,31 gr,Sunset Red
2332,23.489999999999995 gr,275 cal,1047.66 gr,17 gr,Sunset Red
2333,43.27999999999999 gr,99 cal,694.85 gr,7 gr,Navy Blue
2334,122.58999999999999 gr,373 cal,207.49 gr,33 gr,Grass Green
2335,31.319999999999993 gr,186 cal,643.31 gr,26 gr,Purple
2336,100.71000000000001 gr,311 cal,1194.95 gr,26 gr,Purple
2337,115.86999999999999 gr,434 cal,66.23 gr,37 gr,Navy Blue
2338,81.0 gr,380 cal,1816.7 gr,19 gr,Navy Blue
2339,48.97999999999999 gr,135 cal,722.86 gr,-2 gr,Lemon Yellow
2340,114.02000000000001 gr,497 cal,904.84 gr,38 gr,Sunset Red
2341,75.02999999999999 gr,513 cal,1737.13 gr,22 gr,Sunset Yellow
2342,130.65 gr,432 cal,608.35 gr,29 gr,Lemon Yellow
2343,25.819999999999993 gr,246 cal,1021.41 gr,4 gr,Grass Green
2344,89.33 gr,245 cal,1920.02 gr,44 gr,Sunset Yellow
2345,82.66999999999999 gr,375 cal,1644.4 gr,32 gr,Lemon Yellow
2346,104.99000000000001 gr,681 cal,121.89 gr,,Purple
2347,83.8 gr,609 cal,229.99 gr,24 gr,Lemon Yellow
2348,125.97 gr,271 cal,1105.18 gr,24 gr,Lemon Yellow
2349,109.88 gr,437 cal,105.17 gr,32 gr,Purple
2350,102.17 gr,512 cal,399.99 gr,16 gr,Purple
2351,-6.050000000000011 gr,292 cal,286.31 gr,-5 gr,Green
2352,154.04000000000002 gr,429 cal,1752.78 gr,22 gr,Purple
2353,61.31999999999999 gr,169 cal,1565.64 gr,40 gr,Rose
2354,52.56999999999999 gr,385 cal,212.91 gr,16 gr,Grass Green
2355,67.05 gr,304 cal,1486.94 gr,44 gr,Coffee
2356,94.61999999999999 gr,639 cal,1441.7 gr,41 gr,Black
2357,120.14999999999999 gr,511 cal,1309.23 gr,27 gr,Grass Green
2358,78.46 gr,444 cal,1069.66 gr,40 gr,Sunset Yellow
2359,91.25 gr,615 cal,180.06 gr,25 gr,Sunset Yellow
2360,30.519999999999996 gr,161 cal,818.83 gr,25 gr,
2361,144.2 gr,750 cal,161.56 gr,32 gr,Sunset Red
2362,73.03999999999999 gr,544 cal,1141.44 gr,27 gr,Black
2363,109.87 gr,701 cal,39.19 gr,48 gr,Purple
2364,150.95999999999998 gr,449 cal,279.13 gr,22 gr,Rose
2365,80.11 gr,214 cal,568.72 gr,-1 gr,Sunset Yellow
2366,83.44000000000001 gr,192 cal,306.1 gr,32 gr,Lemon Yellow
2367,60.97 gr,427 cal,48.94 gr,34 gr,Rose
2368,33.150000000000006 gr,59 cal,165.67 gr,17 gr,Sunset Red
2369,90.69 gr,737 cal,524.44 gr,37 gr,Sunset Red
2370,136.66 gr,607 cal,1453.66 gr,36 gr,Lemon Yellow
2371,176.07999999999998 gr,725 cal,532.64 gr,37 gr,Navy Blue
2372,21.680000000000007 gr,127 cal,304.63 gr,28 gr,Sunset Yellow
2373,96.05000000000001 gr,676 cal,215.57 gr,42 gr,Green
2374,148.63 gr,432 cal,1561.25 gr,35 gr,Coffee
2375,86.91000000000001 gr,465 cal,1091.12 gr,24 gr,Green
2376,57.59 gr,36 cal,684.18 gr,11 gr,Rose
2377,144.45 gr,478 cal,979.44 gr,35 gr,Lemon Yellow
2378,27.169999999999987 gr,105 cal,1494.1 gr,-6 gr,Navy Blue
2379,39.459999999999994 gr,416 cal,976.53 gr,4 gr,Rose
2380,0.7800000000000011 gr,421 cal,358.3 gr,21 gr,Coffee
2381,159.05 gr,537 cal,299.67 gr,40 gr,Sunset Red
2382,92.1 gr,597 cal,679.19 gr,36 gr,Grass Green
2383,116.03 gr,401 cal,1926.89 gr,30 gr,Navy Blue
2384,72.21 gr,634 cal,1433.25 gr,27 gr,Grass Green
2385,-0.6400000000000148 gr,320 cal,670.6 gr,22 gr,Navy Blue
2386,130.32999999999998 gr,495 cal,1584.04 gr,28 gr,Rose
